State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,01/31/2020,-3.54,0.317,0.498,1.64,-8.25,0.14,-2.99,-2.99,1.29
2500,01/31/2020,-2.85,0.11,6.97,-0.525,-4.57,-11.8,-0.942,-3.56,-2.34
3400,01/31/2020,-2.48,2.88,-1.73,-0.93,-3.89,-5.62,-2.41,-2.84,-1.85
3600,01/31/2020,-1.69,0.259,1.08,0.902,-3.83,-4.26,-1.29,-1.34,1.14
4400,01/31/2020,-5.39,-0.688,-5.1,6.09,-3.12,22.6,-1.1,0.193,3.6
900,02-01-2020,-0.43,3.05,6.15,6.47,1.81,0.0975,-6.48,3.95,5.71
2500,02-01-2020,-0.853,1.74,10.7,2.25,-1.98,-3.76,-3.59,-0.175,2.01
3400,02-01-2020,-0.583,4.56,-3,4.43,0.946,-6.1,-3.66,2.04,3.09
3600,02-01-2020,-0.654,0.498,4.79,4.17,0.571,-6.27,-2.94,2.36,4.17
4400,02-01-2020,-5,0.61,-2.47,9.31,-2.27,28.7,-7.46,4.24,11.7
900,02-02-2020,-0.814,2.6,9.54,7.69,1.85,-4.16,-10.9,3.33,4.6
2500,02-02-2020,-0.752,1.89,9.99,3.27,-1.5,-1.9,-7.2,1.42,5.06
3400,02-02-2020,-0.805,3.61,-0.693,3.24,-0.631,-7.33,-5.93,1.31,3.2
3600,02-02-2020,-0.935,2.01,6.89,3.81,0.619,-5.48,-8.13,2.18,3.81
4400,02-02-2020,-2.8,-5.86,2.33,4.52,-0.347,34.9,17.3,2.75,6.09
900,02-03-2020,0.334,3.94,16.6,9.42,0.261,-0.449,-9.18,2.73,4.85
2500,02-03-2020,1.06,3.8,12.8,7.08,-1.71,-2.53,-1.66,2.42,7.7
3400,02-03-2020,0.0885,5.03,3.66,4.19,-3.3,-3.42,-4.49,0.142,3.7
3600,02-03-2020,0.675,3.08,9.67,4.69,-0.331,-4.19,-4.1,2.77,6.1
4400,02-03-2020,-2.89,-9.95,7.53,1.64,-1.85,26.4,9.37,4.66,13.1
900,02-04-2020,0.24,4.14,8.46,9.98,0.903,1.5,-12.2,1.14,1.38
2500,02-04-2020,1.84,2.16,14.4,2.33,0.953,-1.7,-6.28,2.22,3.92
3400,02-04-2020,0.74,4.64,5.75,4.13,-0.971,1.11,-9.8,2.26,5.63
3600,02-04-2020,1.3,3.76,10.4,2.58,1.77,-5.36,-4.2,3.27,4.92
4400,02-04-2020,-1.88,-8.44,34.4,-2.63,-2.81,17.9,-18.9,-0.664,1.97
900,02-05-2020,0.617,2.46,4.67,6.93,4.55,-2.33,-7.95,0.941,-1.82
2500,02-05-2020,1.53,1.24,14.7,1.31,2.14,1.38,-8.56,2.88,3.97
3400,02-05-2020,1.13,4.31,7.62,3.12,1.05,0.967,-10,2.77,4.52
3600,02-05-2020,1.73,2.35,17.8,-0.921,3.76,-4.76,-5.08,3.06,2.47
4400,02-05-2020,-6.07,-8.86,15.4,-10.9,-0.0781,9.45,-3.44,-0.0867,0.297
900,02-06-2020,-0.608,0.282,8.32,3.81,3.99,-5.38,-8.56,0.0235,-3.01
2500,02-06-2020,0.275,-0.942,11.5,-1.44,1.11,-0.616,-9.7,1.26,1.65
3400,02-06-2020,0.631,2.29,9.84,1.23,1.47,0.194,-6.91,2.21,2.98
3600,02-06-2020,0.0458,0.589,15.9,-3.61,2.62,-6.93,-4.12,0.697,-1.1
4400,02-06-2020,-8.96,-8.87,26.1,-16.4,-4.43,0.97,-17.7,-2.81,-0.214
900,02-07-2020,-0.122,-0.0362,14.3,0.0884,0.946,-6.69,-9.64,-2.26,-4.71
2500,02-07-2020,0.52,-2.09,10.4,-2.49,0.73,2.29,-6.31,0.893,1.36
3400,02-07-2020,-0.235,0.22,10.1,-1.38,-0.678,-1.47,-5.15,-0.0722,0.583
3600,02-07-2020,-2.05,-2.65,15.7,-7.38,-1.14,-7.71,-5.82,-2.65,-4.01
4400,02-07-2020,-7.97,-12,60.9,-10.4,-2.96,-7.51,1.09,-8.12,-13.1
900,02-08-2020,-0.82,-1.46,16.7,1.2,-4.61,-3.08,-8.73,-4.3,-3.99
2500,02-08-2020,0.914,-0.652,8.57,-3.15,1.98,0.589,-6.82,-0.871,-4.01
3400,02-08-2020,0.481,0.846,14,-2.02,-0.611,0.543,-3,-0.343,0.0041
3600,02-08-2020,-1.67,-4.13,14.8,-7.13,-1.12,-4.93,-5.34,-2.45,-3.62
4400,02-08-2020,-8.93,-8.47,71.2,-6.7,-1.3,-16,13,-8.92,-15.8
900,02-09-2020,0.69,-1.17,15.8,2.2,-1.23,0.181,-8.44,-1.72,-2.08
2500,02-09-2020,2.18,-0.504,6.42,-2.89,4.85,-0.394,-1.99,0.0514,-5.2
3400,02-09-2020,1.44,1.8,11.3,-1.74,1.82,0.512,-1.91,1.01,0.33
3600,02-09-2020,-0.515,-4.65,14.4,-5.97,1.54,-4.16,-3.01,-0.758,-2.86
4400,02-09-2020,-9.62,-8.45,63.5,-10.5,1.63,-24.5,-5.39,-9.51,-18.8
900,02-10-2020,-1.53,-2.98,7.85,-0.617,-1.48,1.1,-10.2,-2.99,-4.11
2500,02-10-2020,-0.295,-3.2,2.1,-6.54,6.5,2.03,-8.85,-0.6,-8.32
3400,02-10-2020,0.229,0.131,9.64,-3.32,4.47,0.003,-4.71,1.75,-0.735
3600,02-10-2020,-2.89,-6.56,13.2,-7.28,3.38,-5.76,-9.19,-1.09,-5.21
4400,02-10-2020,-11.4,-6.39,70.4,-13,3.83,-23.9,5.02,-12.2,-25.1
900,02-11-2020,-2.41,-4.85,17.2,-1.71,-4.92,-4.49,-10.2,-3.36,-2.11
2500,02-11-2020,-1.6,-2.97,-1.85,-5.41,2.52,2.14,-3.07,-2.38,-7.8
3400,02-11-2020,-0.51,-0.596,7.51,-2.09,1.39,-0.0034,-2.34,-0.0764,-1.43
3600,02-11-2020,-3.82,-7.6,9.31,-6.87,1.06,-4.88,-8.48,-2.23,-5.3
4400,02-11-2020,-14.5,-7.18,51.6,-10.1,1.48,-9.79,27.9,-12.1,-23.2
900,02-12-2020,0.549,-2.99,23.5,4.94,-1.61,1.24,-13.4,2.46,5.76
2500,02-12-2020,-1.06,-0.276,-1.57,-3.01,3.16,2.29,-6.54,-1.96,-7.66
3400,02-12-2020,1.73,0.222,8.69,2.61,3.66,3.67,0.109,3.43,3.27
3600,02-12-2020,-1.65,-5.86,5.36,-1.04,4,1.58,-6.75,1.62,-0.619
4400,02-12-2020,-9.56,-6.61,62.9,0.243,1.33,-13.5,46.2,-8.26,-16.3
900,02/13/2020,1.43,-2.1,25.1,7.65,-0.349,2.88,-13.6,4.14,7.79
2500,02/13/2020,0.658,0.597,1.19,-0.681,4.9,1.32,-4.29,-0.0851,-5.69
3400,02/13/2020,1.43,1.11,6.37,2.06,2.4,3.41,-0.337,2.76,3.17
3600,02/13/2020,-1.07,-5.44,6.19,-0.867,4.2,3.33,-4.88,1.99,-0.118
4400,02/13/2020,-8.24,-6.04,38.2,10.5,4.2,-3.46,28.5,-2.92,-9.16
900,02/14/2020,0.856,-0.981,16.5,8.65,0.122,5.53,-13.8,4.53,8.15
2500,02/14/2020,0.476,-0.0973,-0.704,0.481,5.3,-7.23,-5.4,0.344,-5.29
3400,02/14/2020,1.65,0.487,5.66,2.82,2.85,5.87,-1.16,3.37,3.91
3600,02/14/2020,-0.175,-4.75,4.25,1.13,5.4,2.99,-3.48,3.06,0.798
4400,02/14/2020,-11.6,-7.85,17.4,0.582,3.88,9.24,45.2,-3.5,-10.2
900,02/15/2020,0.489,-0.944,14.2,5.96,-0.972,2.85,-15.7,3.01,6.25
2500,02/15/2020,-0.469,-0.697,-0.888,-0.46,3.98,-7.48,-4.94,0.434,-3.56
3400,02/15/2020,0.396,-0.752,1,0.682,0.693,4.39,-2.38,1.55,2.44
3600,02/15/2020,-0.718,-2.95,4.65,-0.607,2.73,2.02,-2.23,1.28,-0.126
4400,02/15/2020,-10.2,-10.4,9.93,-4.85,2.22,10.1,29.7,-0.861,-3.77
900,02/16/2020,0.132,-0.818,13.8,4.77,-3.36,3.57,-12.8,1.75,5.84
2500,02/16/2020,-0.667,-0.13,3.41,-0.195,2.54,-6.97,-3.95,-0.477,-3.82
3400,02/16/2020,0.296,0.23,0.223,1.46,-0.399,4,-1.3,1.14,2.7
3600,02/16/2020,-0.819,-1.54,6.97,-0.175,0.789,2.26,-1.59,0.313,-0.138
4400,02/16/2020,-9.99,-2.39,12.4,-3.79,-1.58,11.9,41,-0.861,-0.117
900,02/17/2020,3.08,-0.988,16.3,8.92,5.51,11.6,-14.3,7.09,8.29
2500,02/17/2020,2.28,-2.44,4.38,6.47,9,-8.81,-6.71,5.64,2.03
3400,02/17/2020,0.991,-0.951,-0.429,2.24,2.71,1.78,-3.38,2.4,2.24
3600,02/17/2020,1.65,-0.787,6.29,1.52,4.47,2.51,-1.07,3.07,1.75
4400,02/17/2020,1.4,3.66,2.32,6.15,-0.905,15.2,35.4,8.17,18.5
900,02/18/2020,0.28,-0.925,9.2,5.63,-0.204,-2.19,-16.6,3.02,5.59
2500,02/18/2020,0.503,-0.903,11.9,0.869,3.11,-3.68,-6.17,0.518,-2.29
3400,02/18/2020,-0.127,-1.36,-0.471,-0.647,-0.468,0.126,-4.65,0.234,0.987
3600,02/18/2020,-0.483,-2.25,8.63,-0.532,0.487,-1.49,-2.14,-0.392,-1.26
4400,02/18/2020,-7.87,-2.71,0.169,-1.04,-5.32,7.3,-3.76,-1.37,2.81
900,02/19/2020,-2.08,-4.63,7.26,2.27,-3.19,-2.09,-16.8,-0.216,2.16
2500,02/19/2020,0.0366,-1.5,14.4,0.0904,0.24,-4.88,-4,-0.341,-0.874
3400,02/19/2020,-1.59,-1.5,-2.66,-3.44,-3.21,-0.613,-5.91,-2.82,-2.35
3600,02/19/2020,-1.27,-2.44,9.04,-2,-2.02,-5.64,-3.7,-2.16,-2.32
4400,02/19/2020,-8.58,-1.2,-11.1,-8.47,-10.3,43.8,-20.5,-8.27,-6.14
900,02/20/2020,-2.11,-5.08,4.07,1.65,-4.86,0.0984,-15,-1.77,0.72
2500,02/20/2020,-0.574,-0.346,15.1,1.5,-1.27,-1.79,-2.7,-1.17,-0.908
3400,02/20/2020,-0.257,-0.0041,-0.739,-0.606,-1.57,2.17,-7.46,-0.547,0.552
3600,02/20/2020,-1.7,-2.05,6.97,-1.03,-2.54,-3.67,-4.05,-1.62,-0.778
4400,02/20/2020,-5.52,2.88,0.044,-9.71,-12.6,17.7,14.2,-9.06,-5.22
900,02/21/2020,-1.56,-4.62,-0.0062,2.32,-3.37,-0.813,-12.8,-0.455,1.83
2500,02/21/2020,-0.773,0.23,9.38,2.95,-1.34,7.02,-4.89,0.156,2.01
3400,02/21/2020,-0.808,1.67,1.64,-1.51,-2.16,-0.487,-10.2,-1.35,-0.413
3600,02/21/2020,-1.59,-0.698,4.27,-1.05,-1.82,-6.86,-4.94,-0.362,0.967
4400,02/21/2020,-0.743,8.41,-4.14,-11.7,-8.72,23.1,1.3,-5.72,-2.29
900,02/22/2020,-0.668,-4.49,-1.81,2.18,-0.757,-0.593,-9.34,0.393,1.28
2500,02/22/2020,0.102,-1.03,4.5,3.98,-1.42,6.01,-3.86,2.08,6.19
3400,02/22/2020,-0.651,2.68,3.48,-0.935,-1.63,-1.21,-12,-1.1,-0.44
3600,02/22/2020,-2.33,-3.49,1.62,-1.98,-1.98,-6.1,-3.53,-1.24,-0.583
4400,02/22/2020,1.38,11.8,-0.499,-19,-10.3,19.9,-12.5,-10.5,-10.6
900,02/23/2020,-0.345,-4.01,-1.68,2.02,-0.284,-1.41,-11.8,0.137,0.462
2500,02/23/2020,0.525,-1.44,2.98,6.6,-0.768,5.71,-6.54,3.43,8.35
3400,02/23/2020,-1,1.93,3.85,-1.46,-1.6,-1.21,-12.4,-1.45,-1.16
3600,02/23/2020,-2.42,-4.37,-0.56,-2.67,-1.57,-7.54,-2.63,-0.839,-0.183
4400,02/23/2020,6.28,13.5,-13.1,-15.6,-10,23.8,-8.11,-8.27,-6.45
900,02/24/2020,-0.39,-1.86,-1.21,3.1,-0.351,-4.77,-10.1,0.638,1.41
2500,02/24/2020,1.73,1.59,5.8,8.74,-2.02,2.65,-3.33,4.41,12.1
3400,02/24/2020,-0.982,4.93,2.88,-1.16,-2.92,-2.8,-13.8,-1.52,-0.0419
3600,02/24/2020,-2.23,-2.34,0.423,-2.17,-2.83,-6.55,-3.1,-0.983,0.734
4400,02/24/2020,5.46,10.2,-24.7,-15.2,-7.99,23.7,-7.31,-6.2,-4.12
900,02/25/2020,-2.26,-5.66,-3.59,2.51,-0.168,-3.53,-12,-0.697,-1.19
2500,02/25/2020,1.54,-2.17,-0.553,9.64,0.364,4.04,-1.73,5.15,10.8
3400,02/25/2020,-1.45,3.59,2.3,-1.86,-1.69,-2.3,-12.7,-1.59,-1.37
3600,02/25/2020,-2.72,-4.16,0.437,-2.89,-0.21,-5.45,-4.19,-0.273,-0.335
4400,02/25/2020,8.86,1.86,-30.4,-14.2,-6.15,-3.47,4.26,-2.47,1.45
900,02/26/2020,0.358,1.27,-5.74,4.28,2.46,-2.8,-10.8,1.05,-0.098
2500,02/26/2020,1.5,-1.94,-5.31,10.9,4.3,2.96,-6.69,6.92,9.97
3400,02/26/2020,0.0452,4.25,2.18,-0.578,1.06,-0.905,-11.1,0.59,0.28
3600,02/26/2020,-2.63,-2.92,1.96,-2.44,0.591,-4.56,-4.9,0.409,0.225
4400,02/26/2020,4.59,0.128,-29.7,-8.96,-5.56,-26,-7.49,-1.57,2.84
900,02/27/2020,0.0684,0.669,-9.97,6.35,3.04,-4.01,-14.3,2.42,1.9
2500,02/27/2020,0.632,-2.08,-9.84,10.2,4.56,3.14,-7.32,6.94,9.73
3400,02/27/2020,-1.13,1.88,-1.82,-2.07,0.275,-3.58,-10.2,-0.838,-1.71
3600,02/27/2020,-3.11,-4.55,0.967,-1.05,0.657,-7.74,-4.76,-0.131,-0.874
4400,02/27/2020,4.57,-3.95,-39.7,-10.5,-0.525,-17,-25.6,-1.83,-2.48
900,02/28/2020,-1.57,-0.646,-12.1,7.44,3.72,-5.04,-20.4,2.15,0.97
2500,02/28/2020,0.699,-1.7,-7.52,11.3,6.22,3.38,-9.71,7.05,8.02
3400,02/28/2020,-1.43,1.2,-7.66,-0.571,0.597,-3.45,-9.26,-0.0024,-0.427
3600,02/28/2020,-4.62,-4.85,1.21,-0.212,-0.594,-7.01,-8.84,-1.06,-1.52
4400,02/28/2020,1.55,-7.35,-25.4,-3.55,-1.46,-8.01,-14.3,-3.09,-4.61
900,02/29/2020,-0.865,-1.27,-7.91,10.1,3.98,-4.56,-21.3,3.22,2.67
2500,02/29/2020,1.33,-1.76,-3.6,12.3,7.54,4.46,-8.48,7.34,7.09
3400,02/29/2020,0.165,0.328,-2.9,2.73,1.2,-1.84,-6.54,1.84,2.57
3600,02/29/2020,-3.22,-4.5,4.13,2.19,1.04,-5.22,-9.65,0.528,0.0374
4400,02/29/2020,-1.51,-13.7,-25.7,1.17,-0.948,-10.9,-18.3,-0.662,-0.163
900,03-01-2020,-2.25,-0.412,-12.3,11.6,2.41,-3.46,-24.4,3.2,3.81
2500,03-01-2020,-1.59,-0.344,0.004,11.3,2.39,0.875,-12.1,2.9,3.49
3400,03-01-2020,-1.13,-0.255,-11.7,5.08,2.34,-3.25,-8.71,3.26,4.23
3600,03-01-2020,-4.73,-2.7,-3.9,4.32,0.944,-9.29,-14.8,1.39,1.81
4400,03-01-2020,-9.42,-25.8,-26,1.91,0.338,-11.1,-19.1,-0.0946,-0.561
900,03-02-2020,1.49,0.875,-9.79,16,8.5,-0.277,-21.6,9.17,9.68
2500,03-02-2020,0.229,1.01,4.04,17.2,5.96,0.35,-10.9,6.19,6.49
3400,03-02-2020,1.9,1.44,-7.02,7.16,5.49,0.35,-8.56,6.04,6.69
3600,03-02-2020,-2.62,-2.39,1.28,6.76,3.4,-4.97,-14.8,3.3,3.26
4400,03-02-2020,-5.7,-17,-16.7,18,9.17,-18.2,-31.5,7.58,5.86
900,03-03-2020,1.25,0.59,-9.17,13.5,5.66,1.1,-21.5,6.5,7.13
2500,03-03-2020,-0.165,2.9,2.22,14.4,5.78,-1.57,-16,5.05,4.24
3400,03-03-2020,2.48,1.94,-6.7,8.8,5.08,0.608,-5.66,6.49,7.95
3600,03-03-2020,-1.73,-2.19,1.29,7.21,3.08,-3.54,-12.4,3.23,3.48
4400,03-03-2020,-12.9,-36.5,-3.5,22.2,7.93,-6.41,-40.7,7,5.99
900,03-04-2020,1.53,-0.838,-7.55,15.1,8.01,8.84,-26.9,8.46,8.78
2500,03-04-2020,1.04,2.28,1,14.9,7.89,-2.63,-14.7,7.54,7.24
3400,03-04-2020,1.89,1.17,-4.73,10.2,6.44,-1.2,-6.92,7.39,8.45
3600,03-04-2020,-2.21,-3.23,0.0357,7.68,3.48,-4.63,-15.7,3.98,4.64
4400,03-04-2020,-10.1,-27.1,-5.38,19.2,12,17.2,-48.3,7.39,2.15
900,03-05-2020,0.518,-3.53,-4.46,12.9,7.11,2.42,-29.4,7.99,8.64
2500,03-05-2020,1.68,2.81,7.01,14.2,7.77,-2.66,-12.5,8.05,8.53
3400,03-05-2020,1.78,0.975,-3.84,11.7,8.46,1.13,-10.3,9.1,9.89
3600,03-05-2020,-1.54,-2.96,-0.906,7.01,6.21,-4.83,-16.5,5.42,4.87
4400,03-05-2020,-9.67,-23.6,-9.85,15.1,13.4,29.1,-32.9,8,2.39
900,03-06-2020,0.232,-3.96,-4.28,10.8,8.45,1.88,-28.4,8.63,8.74
2500,03-06-2020,1.19,1.73,4.8,15.2,9.4,-9.85,-16.4,9,8.7
3400,03-06-2020,1.26,-0.757,-3.15,11.8,10.1,0.732,-12,9.98,10
3600,03-06-2020,-2.18,-3.58,-3.13,4.37,7.62,-4.49,-18.7,5.28,3.3
4400,03-06-2020,-8.83,-16.9,-15.3,22.4,8.43,3.11,-44,7.23,6.6
